season,losing,winning,mean_coaches_given_brownlow_0,mean_coaches_given_brownlow_1,mean_coaches_given_brownlow_2,mean_coaches_given_brownlow_3
2015,0.2222222222222222,0.7777777777777778,0.3141963727329581,4.041025641025641,5.3538461538461535,7.723076923076923
2016,0.2376068376068376,0.7623931623931623,0.299437148217636,4.082051282051282,5.964102564102564,7.676923076923077
2017,0.265993265993266,0.734006734006734,0.30808080808080807,4.02020202020202,5.459595959595959,7.888888888888889
2018,0.24663299663299662,0.7533670033670034,0.30968218773096823,3.823232323232323,5.656565656565657,7.8232323232323235
2019,0.32491582491582494,0.6750841750841751,0.3035230352303523,3.9797979797979797,5.7272727272727275,7.848484848484849
2020,0.2690631808278867,0.7309368191721133,0.3425793081460226,3.189542483660131,5.294117647058823,7.470588235294118
2021,0.2777777777777778,0.7222222222222222,0.29950669485553205,3.919191919191919,5.262626262626263,7.9393939393939394
2022,0.2803030303030303,0.7196969696969697,0.2978623443739723,4.156565656565657,5.373737373737374,7.661616161616162
2023,0.2971014492753623,0.7028985507246377,0.33322098640602177,3.642512077294686,4.8019323671497585,7.2270531400966185
2024,0.29871175523349436,0.7012882447665056,0.32872710931356025,3.6473429951690823,4.966183574879227,7.251207729468599
2025,0.14805825242718446,0.8519417475728155,0.32637164145405284,3.3592233009708736,5.053398058252427,7.553398058252427
